1101 	1102 	1103 	1104 	1370 	1501 	1502 	1503 	1504 	1770
2122 	2170 	2172 	2174 	2183 	2197 	2380 	2381 	2382 	2383
2386 	2389 	2390 	2391 	2392 	2393 	2394 	2396 	2397 	2398
2522 	2570 	2572 	2574 	2583 	2597 	2780 	2781 	2782 	2783
2786 	2789 	2790 	2791 	2792 	2793 	2794 	2796 	2797 	2798
3105 	3108 	3125 	3164 	3170 	3171 	3174 	3370 	3377 	3380
3382 	3386 	3387 	3390 	3391 	3393 	3395 	3396 	3397 	3398
3505 	3508 	3525 	3564 	3570 	3571 	3574 	3770 	3777 	3780
3782 	3786 	3787 	3790 	3791 	3793 	3795 	3796 	3797 	3798
4160 	4164 	4307 	4308 	4309 	4311 	4312 	4384 	4385 	4396
4560 	4564 	4707 	4708 	4709 	4711 	4712 	4784 	4785 	4796
