1102 	1104 	1192 	1302 	1304 	1502 	1504 	1592 	1702 	1704
2110 	2111 	2113 	2114 	2115 	2117 	2118 	2121 	2122 	2123
2142 	2143 	2144 	2145 	2146 	2147 	2199 	2510 	2511 	2513
2514 	2515 	2517 	2518 	2521 	2522 	2523 	2542 	2543 	2544
2545 	2546 	2547 	2599 	2901 	3111 	3130 	3132 	3139 	3145
3148 	3149 	3150 	3151 	3152 	3153 	3199 	3511 	3530 	3532
3539 	3545 	3548 	3549 	3550 	3551 	3552 	3553 	3599 	3901
3902 	4114 	4115 	4116 	4117 	4121 	4123 	4136 	4139 	4145
4150 	4170 	4185 	4186 	4190 	4192 	4193 	4199 	4514 	4515
4516 	4517 	4521 	4523 	4536 	4539 	4545 	4550 	4570 	4585
4586 	4590 	4592 	4593 	4599 	4901 	4902 	 
